voted_up,review,playtime_forever
True,"I like Counter-Strike 2 because it's a competitive, skill-based game. It's nice to see your progress and play well. The graphics look clean and nice, the game is generally intense and fun, I just like playing it.",205.68333333333334
True,good,133.8
True,tgis game is super gooood plaze no vac cheat,324.0833333333333
True,"There's a secret that gives players no peace,
When your accurate shot goes into the void.

You aim for the head, the crosshair – like a magnet,
And you see the enemy tremble from your bullet.
But there he stands, as if nothing happened,
And the blood on the screen – just an illusion.

""Register it, game!"" you shout in your heart,
""My shot was precise, I don't believe words!""
But the server is silent, and statistics lie,
And again, resentment will grow in your soul.

You see bullets fly through the enemy,
As if walls – are just your leg.
And it seems as if the world – is a dream,
Where the rules of the game – are just a strange law.",910.0833333333334
True,GOLD GOLD GOLD,220.08333333333334
True,worst game ever only better than lol,136.23333333333332
False,"Farm bots, cheaters in most matches, the only aspect that keeps this dead game afloat is the unregulated gambling system. It's not worth your time",235.68333333333334
True,Very good game,3.0166666666666666
False,if you want to get mental retardation go for it if not there is prob better games to play,20.5
True,"Pretty nice competitive game, i recently got in to this game, I played similar games like this, mobile cs like game called stand off 2 , and also valorant, But overall, its an enjoyable game, every teammate i got was friendly so yea, this game is cool :) .",83.71666666666667
False,♥♥♥♥ this game,129.66666666666666
True,GOOD GAME,25.866666666666667
True,"This game sucks, people are either annoying russians that insult you for no reason or the highest dudes ever.
10/10 see you tomorrow",340.05
True,"make better anti cheat dont troll
",228.08333333333334
True,Just like a drug.,119.43333333333334
True,Thank you Gabe,178.38333333333333
True,I love bottom fragging :),194.63333333333333
True,"I remember playing CS:GO on my first account - it was a truly wonderful time.

But times change, and now I see that the game seems to be of high quality, but it's as if it's not the same anymore...",15.783333333333333
True,good game SIKEEEEEEEEEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ♥♥♥♥♥♥♥ ass game,148.03333333333333
True,Need better anti cheat,433.5
True,"only gamble, Game is too hard",132.83333333333334
True,:/,6243.233333333334
True,",,",30.2
True,Я донк,148.61666666666667
True,gamble,59.85
True,I don't know yet,4.983333333333333
True,Goated game.,93.01666666666667
True,fire,24.583333333333332
True,peak fps,688.6666666666666
False,"changed my resolution and game black screened and stayed that way, ♥♥♥♥♥♥ my whole game up.",24.133333333333333
True,GOAT,1005.55
True,"My most favorite game is very interesting and cool to play with friends, but I advise you to buy Prime. I bought it and playing became more interesting because teammates and opponents became cooler and stronger.",141.66666666666666
False,Arreglen el anti-cheat,894.6166666666667
True,nice,69.48333333333333
True,I knew an arab so i try to stay away from terrorists... none the less i do enjoy shootin them a-rabs as a swat. Definetly recommend for any racists out there looking to kill some a-rabs.,322.23333333333335
True,i like,129.48333333333332
True,"really the only competitive shooter that matters.

f you for deleting the achievements though, I had them all. No reason for it either. ",791.0333333333333
True,"Og since cs 1.6 and global elite in cs:go, many things can be improved yet it retains the original dna of the original counter strike.",5.95
True,great teamwork strategy game,126.58333333333333
True,Nicest people you will ever meet in your life and they love new players that have no idea what to do if you need help make sure to queue up for a competitive match!,167.78333333333333
True,Sling Slurs and Rush B as normal,95.81666666666666
True,Like,254.51666666666668
True,cool game >;),7.7
True,meh,323.21666666666664
True,I love playing terrorist,12.666666666666666
True,cs is my game without it i cannot live,99.61666666666666
False,This game is ass | 6-7,32.61666666666667
True,very good game,16.716666666666665
False,LOVE how your team kicks you bc of nothing,144.7
True,good,376.18333333333334
True,getting to level 10 is like dragging your ballsack through  million miles of hot fresh asphalt. great game,33.333333333333336
True,"Bullets fly, but not always straight, hit headys or get deadys",216.43333333333334
True,Screw this game but i like,397.7
True,"fun, i like skins or whatever but im broke as ♥♥♥♥",171.6
True,nicee,85.15
True,yes,1.6833333333333333
True,one million cases still no bfk,607.3
False,"This game barely runs on my system, constant lack of updates, every game is swarming with cheaters, forced to play on FaceIT, and the cherry on top is the ammo change that everyone asked for. I'm so glad that one Valve developer listened to the community and added the ammo change. Maybe it's time for me to start a new career away from Counter-Strike and move into the professional Minecraft league.

Thank you, Valve",99.65
True,very good,31.116666666666667
True,.,206.15
True,"I've spent 10,000 hours playing this wonderful game.
Pros: lots of wonderful people playing, and now I have friends.
Cons: lots of ""wonderful people playing,"" I reached 30,000 premier points, now everyone thinks I'm a cheater with a bought 3k elo (sorry), it registers when the game feels like it, sometimes you're the king of this mess, and sometimes you're a silver with stumps for hands. Thanks for letting me build a PC for 150,000 instead of 300,000, it doesn't lag, and I'm grateful for that. 10/10",12.383333333333333
False,"1 match cheater
2nd match more cheater
3rd match no cheater but if u win 1 match he turn on cheat
game very good",139.41666666666666
True,Enjoyable,274.51666666666665
True,game of all time,44.78333333333333
True,"The game, of course, is of questionable quality, full of toxic players and cheaters, but for some reason it suddenly turns life into ""just one more match and then sleep"" for an indefinite period <3",58.333333333333336
True,Game runs good but the characters don't.,30.933333333333334
True,"nu va jucati bagati va pula n el joc
",426.85
False,Tip: DO NOT watch replays from the perspective of a person with Steam level 1 and a private profile whom you lost to. Live on in happy ignorance and with the feeling that the anti-cheat works here.,122.13333333333334
True,<3,128.78333333333333
True,gay 67+ cheater,142.11666666666667
False,"who ever made this game does not care about you(the player)
your shots does not register properly 
you die after shouldering (there is at least 1.5sc that u have no way of getting shot at) 
not even talking about sounds I can't hear foot steps bc of my AK what a game
at this point I'm wishing that I wouldn't have played this game years ago 
such a waste of time
(whom ever worked at making this game don't get me wrong I hope you enjoy your journey)",450.31666666666666
True,"CS2 is a foundation for the future. It feels fresh and modern, but veterans of the series might miss the ""polish"" that was present at the end of the CS:GO era. If you have a powerful PC and love the competitive spirit, it's a must-play. If you were waiting for perfect technical execution, it's worth waiting for a couple more major patches.",107.11666666666666
True,"1. Downloaded CS
2. Got Prime cause a friend told me to (because of cheaters)
3. Played 2 casual games to progress unlocking of comp
4. Got clowned for being new
5. Decided to buy a $0.69 case and a $1.89 key, then got a $0.10 skin for the SSG
6. Uninstalled after

Peak Game",8.05
